Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	gamma	phi[1]	phi[2]	phi[3]	phi[4]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
28	0	-5972.556	-5952.246	-20.31021	0.855254	1.39286	0.00553333	0.432488	0.104687	0.0193049	0.0133282	0.0456493	0.144503	0.156015	0.236877	0.178798	0.023695	0.424204	0.0029386	0.0634306	0.677048	0.0583931	0.0840884	1.26888	0.0137267	1.415685	1	1.41568	1.41568	1	0.352486	0.125052	0.169632	0.35283	0.0771476	0.0412874	0.042035	0.0704551	0.0587328	0.0587222
29	1	-5322.683	-5244.417	-78.26601	1.95195	0.448735	0.00864006	1.77652	0.354766	0.362305	0.0342292	0.210287	0.795324	0.552802	0.556791	0.513846	0.0554262	0.145674	0.515694	0.0223301	2.78598	0.358746	0.000940932	0.150697	0.66032	1.21203	1	1.21203	1.21203	1	0.356481	0.237614	0.139644	0.26626	0.0185977	0.0225618	0.00708658	0.0166376	0.0130694	0.0260648
30	0	-5969.318	-5950.89	-18.42813	0.921701	1.45811	0.00429566	0.267344	0.118043	0.0248781	0.00599334	0.0574708	0.186859	0.102091	0.120756	0.209471	0.0182209	0.2866	0.00859656	0.0642866	0.854944	0.0335229	0.0869256	1.14193	0.00864755	1.415685	1	1.41568	1.41568	1	0.358802	0.120092	0.161954	0.359151	0.0738017	0.0499327	0.0481729	0.0937371	0.0494736	0.0660596
31	1	-5311.443	-5238.626	-72.81632	2.21912	0.374026	0.00607651	1.48863	0.203471	0.319888	0.0284005	0.186105	0.644526	0.580534	0.547654	0.645677	0.0610111	0.084011	0.267366	0.063297	2.84692	0.238513	0.000752638	0.203042	0.688651	1.213891	1	1.21389	1.21389	1	0.374283	0.17341	0.17275	0.279557	0.0201641	0.022657	0.00623761	0.0219697	0.0247467	0.0274133
32	0	-5972.593	-5947.345	-25.24766	1.03169	1.54744	0.00466372	0.425023	0.179781	0.0370419	0.00437203	0.10138	0.22084	0.157259	0.186643	0.299445	0.00830773	0.307117	0.00858823	0.0467247	0.839487	0.00509074	0.142609	1.14193	0.0115668	1.429261	1	1.42926	1.42926	1	0.345774	0.145194	0.156074	0.352958	0.0623844	0.0572615	0.047447	0.0681665	0.0477037	0.0525046
33	1	-5326.115	-5238.627	-87.48793	1.9707	0.420506	0.00761216	2.44976	0.154918	0.154986	0.0240399	0.291524	0.833585	0.348376	0.663114	0.303042	0.0651552	0.0834679	0.722508	0.0904697	2.97839	0.554152	0.000642286	0.101658	0.967101	1.213891	1	1.21389	1.21389	1	0.273375	0.203319	0.182613	0.340693	0.0184988	0.0178704	0.0125125	0.015491	0.0147914	0.0231625
34	0	-5974.999	-5951.774	-23.22495	0.990273	1.55297	0.00948915	0.390954	0.0810491	0.0178199	0.0193329	0.0688715	0.227427	0.172144	0.134149	0.23239	0.0143095	0.317854	0.0054301	0.0801684	0.877483	0.011526	0.101333	1.14655	0.0225754	1.429261	1	1.42926	1.42926	1	0.394709	0.15758	0.137273	0.310439	0.0608893	0.0690816	0.0430458	0.0824071	0.0540781	0.0565909
35	1	-5325.325	-5240.787	-84.53857	2.00893	0.390085	0.0137373	1.85947	0.139688	0.0626607	0.0401695	0.156493	0.732718	0.422446	0.966485	0.348033	0.0718573	0.133359	0.514817	0.117944	3.08199	0.974628	0.000504904	0.159068	0.698681	1.213891	1	1.21389	1.21389	1	0.271807	0.207886	0.181566	0.33874	0.0174372	0.0203865	0.0126475	0.0175297	0.0141778	0.0171556
36	0	-5973.962	-5953.326	-20.63661	1.02693	1.32937	0.00578547	0.279949	0.130022	0.0427788	0.0153675	0.0414005	0.321826	0.144919	0.187321	0.213111	0.0181441	0.337615	0.00575384	0.0788322	0.764572	0.0580196	0.0815632	1.12109	0.0154428	1.429261	1	1.42926	1.42926	1	0.381365	0.152252	0.166439	0.299944	0.0680511	0.0551398	0.0611944	0.0623792	0.0609986	0.053787
37	1	-5316.112	-5227.577	-88.5356	2.03414	0.37245	0.0808261	1.77824	0.107637	0.0874585	0.0574368	0.119608	0.947835	0.568018	0.81411	0.739592	0.0765222	0.27119	0.463026	0.103033	3.08199	0.507683	0.000494364	0.206069	0.877751	1.179037	1	1.17904	1.17904	1	0.242849	0.185738	0.176887	0.394527	0.0237884	0.0205318	0.0061534	0.0168707	0.0131634	0.0206645
38	0	-5972.09	-5952.861	-19.22864	0.904955	1.42169	0.00465095	0.412144	0.0995261	0.0580609	0.00887622	0.03553	0.249238	0.0956195	0.144201	0.203434	0.0174393	0.271442	0.020635	0.125186	0.764572	0.0510685	0.0760446	1.09008	0.00611934	1.429261	1	1.42926	1.42926	1	0.325392	0.15966	0.168343	0.346605	0.0806552	0.0574416	0.0525511	0.0835421	0.0420318	0.0638302
39	1	-5315.957	-5223.863	-92.09387	1.86142	0.398626	0.170892	1.67446	0.231127	0.228744	0.031662	0.246816	0.825454	0.543872	0.952667	0.692014	0.0340348	0.42388	0.357289	0.289747	3.08199	0.443915	9.67273e-05	0.181773	0.973814	1.186145	1	1.18614	1.18614	1	0.238155	0.184211	0.178372	0.399261	0.0230099	0.0232433	0.00984809	0.0153875	0.0179796	0.0176301
40	0	-5973.861	-5950.847	-23.01454	0.865418	1.44528	0.010992	0.517721	0.167414	0.0348589	0.00751647	0.0813673	0.144904	0.151377	0.212155	0.230981	0.0112143	0.185557	0.0225697	0.118787	0.963433	0.0424115	0.0677911	1.17227	0.0116371	1.429261	1	1.42926	1.42926	1	0.31065	0.152426	0.15897	0.377954	0.0706186	0.0660326	0.0473623	0.0705947	0.0421644	0.056724
41	1	-5312.702	-5223.621	-89.08176	2.19667	0.440567	0.132669	1.2166	0.557937	0.0626714	0.0429029	0.224477	0.785844	0.538022	0.796998	0.548978	0.0304033	0.307795	0.393668	0.134772	3.13725	0.4319	6.43427e-05	0.252388	1.12035	1.186145	1	1.18614	1.18614	1	0.238155	0.184211	0.178372	0.399261	0.0220656	0.0193558	0.00689621	0.0182794	0.0153513	0.0153086
42	0	-5973.12	-5955.151	-17.96835	0.933117	1.14373	0.00806809	0.416151	0.0710747	0.0484311	0.00866616	0.0286186	0.261272	0.105175	0.208053	0.219874	0.0189957	0.12249	0.0106411	0.120569	1.00175	0.0499024	0.0464953	1.08685	0.00760105	1.413185	1	1.41319	1.41319	1	0.377962	0.144586	0.141362	0.336089	0.0676715	0.0672418	0.0428106	0.0867246	0.0667542	0.0674098
43	1	-5315.316	-5230.391	-84.92462	2.13502	0.420953	0.192848	1.63004	0.399015	0.130477	0.0430198	0.348278	0.747573	0.593905	0.609208	0.576834	0.0198652	0.207317	0.349101	0.0623392	2.65807	0.561044	5.38183e-05	0.0965641	1.14805	1.186145	1	1.18614	1.18614	1	0.18569	0.201006	0.177641	0.435663	0.0263328	0.023548	0.0089854	0.012456	0.0149749	0.0186049
44	0	-5972.791	-5940.369	-32.42233	0.933117	1.85679	0.00691936	0.409014	0.121701	0.0175501	0.0068529	0.0467945	0.359087	0.131295	0.252203	0.233468	0.0170199	0.398031	0.0067918	0.136106	0.930664	0.084135	0.143094	1.33458	0.00419263	1.345725	1	1.34573	1.34573	1	0.377962	0.144586	0.141362	0.336089	0.0525435	0.0435477	0.0459232	0.0810993	0.0604895	0.0552789
